Receptor Name,protein_family,subcellular_location,expression,disease_names,pathway_names,interaction_partners,wellness_benifits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GABA A a1_a2_b2_b3_g2,Ion channel | GABA-A receptor | Ligand-gated ion channel,"Postsynaptic cell membrane, Cytoplasmic vesicle membrane",prefrontal cortex:8640TPM; cerebellar hemisphere:8055TPM; frontal lobe:6207.5TPM; cerebellum:4265TPM; Brodmann (1909) area 9:4186TPM,"developmental and epileptic encephalopathy;juvenile myoclonic epilepsy;epilepsy;Seizure;insomnia;panic disorder;Agitation;anxiety disorder;Anxiety;migraine disorder;alcohol dependence;major depressive disorder;Pain;generalised epilepsy;childhood absence epilepsy;genetic developmental and epileptic encephalopathy;generalized anxiety disorder;postpartum depression;Lennox-Gastaut syndrome;status epilepticus;Intellectual disability;depressive disorder;genetic disorder;Focal-onset seizure;Epileptic encephalopathy;Generalized epilepsy with febrile seizures-plus
",GABA receptor activation;Signaling by ERBB4,"GABRG2;GABRB2;GABRB3;GABRB1;GPHN;GABRA6;GABRA4;GABRQ;GABRA5;UBQLN1;GABRA3;DNM1;GABARAP;NPTN;GABRA2;ARHGEF9;GABRA1;GABRG3;GABBR2;TRAK2;GABRG1;GABRE
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GABAA 2a3_2b3_g2,Ion channel | GABA-A receptor | Ligand-gated ion channel,Postsynaptic cell membrane; Cell membrane,,"developmental and epileptic encephalopathy;Lennox-Gastaut syndrome;epilepsy;genetic developmental and epileptic encephalopathy;childhood absence epilepsy;Seizure;migraine disorder;alcohol dependence;Pain;Epileptic encephalopathy;postpartum depression;insomnia;Anxiety;depressive disorder;genetic disorder;Generalized epilepsy with febrile seizures-plus;panic disorder;Agitation;anxiety disorder;generalized anxiety disorder
",GABA receptor activation;Signaling by ERBB4,"GABRG2;GABRA5;GABRA1;GABRA6;GABRA3;GABRA4;GABRA2;GABRG3;ARHGEF9;GABRB2;GABRQ;GABRB1;NPTN;GABBR2;GABRE;GABRB3;GPHN;GABARAP
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OR1A1,"Olfactory receptors, family 1",Cell membrane,,gastric carcinoma;Anosmia;neoplasm;nail-patella syndrome;colorectal cancer;preeclampsia;colorectal carcinoma;bipolar disorder,Olfactory Signaling Pathway;Expression and translocation of olfactory receptors,ACTA2;EFHD1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OR2J3,"Olfactory receptors, family 2",Cell membrane,testis:6TPM; endocervix:2TPM; macrophage:0TPM; memory B cell:0TPM; regulatory T cell:0TPM,breast carcinoma;non-small cell lung carcinoma;gastric carcinoma;diabetes mellitus;lung cancer;neoplasm;Parkinson disease,Olfactory Signaling Pathway;Expression and translocation of olfactory receptors,RTP2;RTP1;REEP1;GNAL;RTP5;REEP5;RTP3;RTP4;GNGT1;REEP4;REEP6;REEP3;GNB1;REEP2;GNG13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OR51E2,Family A G protein-coupled receptor | Membrane receptor,"Cell membrane, Early endosome membrane",tibial artery:1091TPM; prostate gland:633TPM; sigmoid colon:482TPM; placenta:363TPM; transverse colon:264TPM,neurodegenerative disease;ovarian neoplasm;prostate cancer;posterior cortical atrophy;poisoning;cancer;essential hypertension;neoplasm;breast carcinoma;prostate intraepithelial neoplasia;butyrylcholinesterase deficiency;hypertension;colorectal cancer;inherited hemoglobinopathy;colorectal carcinoma,Olfactory Signaling Pathway;Expression and translocation of olfactory receptors,RTP2;RTP1;GNAL;REEP1;GNGT1;RTP3;REEP3;REEP5;GNB1;RTP4;REEP4;REEP2;RTP5;REEP6;AMACR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OR2W1,"Olfactory receptors, family 2",Cell membrane,testis:5TPM; macrophage:0TPM; memory B cell:0TPM; regulatory T cell:0TPM; heart:0TPM,gastric carcinoma;Burkitts lymphoma;lung cancer,Olfactory Signaling Pathway;Expression and translocation of olfactory receptors,GNAL;RTP1;GNGT1;GNB1;REEP4;REEP1;REEP6;RTP5;RTP2;RTP4;RTP3;REEP3;REEP5;REEP2;BPIFB3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OR10J5,"Olfactory receptors, family 10",Cell membrane,,inherited retinal dystrophy;cervical carcinoma;Hepatic steatosis;exostosis;asthma;fatty liver disease;Muscular dystrophy;muscular dystrophy;non-alcoholic fatty liver disease;diabetes mellitus;Glucose intolerance;aneurysm;sarcopenia,Olfactory Signaling Pathway;Expression and translocation of olfactory receptors,RTP1;GNAL;RTP2;RTP3;REEP1;RTP4;REEP4;REEP2;REEP3;GNGT1;REEP5;RTP5;GNB1;REEP6;GRK3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-HT1A,Monoamine receptor | Family A G protein-coupled receptor | Small molecule receptor (family A GPCR) | Serotonin receptor | Membrane receptor,"Cell membrane, Cell projection",temporal lobe:1939TPM; frontal lobe:514TPM; prefrontal cortex:315TPM; Brodmann (1909) area 9:75TPM; cerebral cortex:72TPM,major depressive disorder;schizophrenia;bipolar disorder;anxiety disorder;autism;schizoaffective disorder;depressive disorder;bipolar I disorder;Agitation;psychosis;Tourette syndrome;Anxiety;generalized anxiety disorder;post operative nausea and vomiting;menstrual cycle-dependent periodic fever,Serotonin receptors,POMC;GABBR1;SLC6A4;GRM2;GABBR2;NPY;GNAI3;PDYN;ADCY1;GRM3;GPR55;GAL;GRM4;HTR1B;SST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-HT6,Monoamine receptor | Family A G protein-coupled receptor | Small molecule receptor (family A GPCR) | Serotonin receptor | Membrane receptor,Cell membrane,temporal lobe:378TPM; frontal lobe:204.5TPM; nucleus accumbens:180TPM; putamen:129TPM; caudate nucleus:115TPM,post operative nausea and vomiting;Alzheimer disease;psychosis;Nausea and vomiting;obesity;circadian rhythm;schizophrenia;aortic disease;Dementia;depressive disorder;Anxiety;X-linked agammaglobulinemia;bipolar I disorder;Cognitive impairment;breast cancer,G alpha (s) signalling events;Serotonin receptors,ADCY3;GNAS;HTR4;ADCY7;ADCY4;GIPR;HTR7;GNB5;GNG13;GNG3;GNG7;GNB2;GNB3;GNB4;GNB1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Muscle-type nAChR 2a1_b1_d1_e1,Ion channel | Nicotinic acetylcholine receptor alpha subunit | Ligand-gated ion channel | Nicotinic acetylcholine receptor epsilon subunit | Nicotinic acetylcholine receptor beta subunit | Nicotinic acetylcholine receptor | Ion channel | Nicotinic acetylcholine receptor alpha subunit | Nicotinic acetylcholine receptor epsilon subunit | Ligand-gated ion channel | Nicotinic acetylcholine receptor | Nicotinic acetylcholine receptor delta subunit | Ion channel | Nicotinic acetylcholine receptor alpha subunit | Nicotinic acetylcholine receptor epsilon subunit | Ligand-gated ion channel | Nicotinic acetylcholine receptor | Nicotinic acetylcholine receptor delta subunit | Ion channel | Nicotinic acetylcholine receptor | Nicotinic acetylcholine receptor alpha subunit | Nicotinic acetylcholine receptor gamma subunit | Ligand-gated ion channel | Nicotinic acetylcholine receptor beta subunit,Postsynaptic cell membrane,skeletal muscle tissue:2880.5TPM; pituitary gland:182TPM; hippocampus proper:174TPM; tonsil:125TPM; brain:95TPM,"Congenital myasthenic syndromes;Postsynaptic congenital myasthenic syndromes;lethal multiple pterygium syndrome;congenital myasthenic syndrome;postsynaptic congenital myasthenic syndrome;Seizure;centronuclear myopathy;congenital myopathy;genetic disorder;Autism;autism;Back pain;acute respiratory distress syndrome;Myalgia;neurodegenerative disease;pancreatic carcinoma;stroke;osteoarthritis;diverticular disease;Abnormality of refraction;medical procedure;Muscle weakness;Breathing dysregulation;ptosis;Dyspnea;arthrogryposis multiplex congenita;fetal akinesia deformation sequence 1;fetal akinesia deformation sequence;Bernard-Soulier syndrome;platelet-type von Willebrand disease;Optic neuropathy;Abnormality of the musculature;Thrombocytopenia;Macrothrombocytopenia;Tip-toe gait;Abnormal bleeding;congenital myasthenic syndrome 4
",Highly calcium permeable nicotinic acetylcholine receptors;Highly calcium permeable postsynaptic nicotinic acetylcholine receptors,"RAPSN;AGRN;CHRND;CHRNA7;ITGB1;UTRN;DMD;CHRM1;LAMB2;CHRNA9;LAMA2;ACTA1;CHRNB4;CHRNB2;MUSK;SRC;PTK2B;PTK2;ACHE;CHRNA2;CHRNA4;CHRNA3;CHRNA1;CHRNB1;DOK7;COL4A3;COLQ;ALPI;DIPK1A;SEC11C;C1orf54;PXYLP1;LTBP1;C1QTNF9B;CLGN;ITGA6;LGALS1;CNNM1;TMUB2;TPST2;TMEM131;DAG1
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
