uuid,Name,Product Code,Density,Density Range,Measured Ref. Index - AVG,RI Range,Product Line,Aroma Color,Notes Color (Secondary),Intensity 1-10,Cannabis Forward,Fruity Forward,Dessert Forward,Odor Type,Odor Description,Tags,Family Type,Main Terpenes,Density g/cc,Density_avg,Refractive_Index_avg
a26a90f0-e55b-4ddf-914f-17cea5b0ebd0,Orange Velvet,10-19-9999,"0.8380, 0.8473, 0.8286, 0.8414, 0.8374, 0.8394, 0.8396, 0.8262, 0.8458, 0.8374, 0.8374, 0.8330",0.804 - 0.871,"1.4710, 1.4723, 1.4718, 1.4709, 1.4713, 1.4718, 1.4707, 1.4710, 1.1721, 1.4713, 1.4713, 1.4737",1.418 - 1.476,Enhancer Line,#875a22,#ffb265,7,0,3,4,chocolate orange,"Starts with strong chocolate aroma, Strong fresh orange aroma with alcoholic cocoa and vanilla top-notes","Vanilla, Chocolate, Orange","Fruity, creamy","Limonene, Myrcene, Beta-pinene",,0.837625,1.4466
1f10f50e-942e-41f5-be2b-13981262508c,Peach Pizzazz,10-570-9999,"0.8672, 0.8626, 0.8542",0.827 - 0.896,"1.47, 1.4696, 1.4708",1.441 - 1.5,Enhancer Line,#f4be7f,#f16262,8,,5,,peach candy,"sugary peach, sweet tropical. juicy peach with ripe mango and nactarine notes.","sugar, Peach, tropical, ripe",Fruity,"Bisabolene, linalool, Myrcene",,0.861333333,1.470133333
1ef1c3f5-e6f7-4406-9c62-140ff29f473e,Pear Jam,10-566-9999,"0.8434, 0.8488, 0.8606",0.817 - 0.885,"1.4596, 1.4600, 1.4583",1.43 - 1.488,Enhancer Line,#97d730,#d5d499,7,,5,,Green Pear Candy,"Sweet, juicy, candy-like pear body with green and pineapple notes","tropical, sweet, Pineapple, juicy, pear",Fruity,"Limonene, Alpha Bisabolol",,0.850933333,1.4593
4364da97-adf6-4c49-a7d4-e8c852757532,Pink Citrus Soda,10/01/9999,"0.884, 0.8788, 0.8782, 0.8799, 0.8526, 0.858, 0.8542, 0.8758, 0.8674, 0.8724, 0.8945, 0.8766, 0.8732, 0.8630, 0.8532",0.836 - 0.906,"1.4800, 1.4778, 1.4777, 1.4785, 1.4790, 1.4784, 1.4788, 1.4803, 1.4801, 1.4791, 1.4801, 1.4791, 1.4802, 1.4802, 1.4807",1.45 - 1.509,Enhancer Line,#dfe653,#f5c9f4,7,0,5,0,Lemon-Lime Soda,"Lemon-Lime soda with pink bubblegum, strawberry like backround.","Lime, Sprite, BerryNotes, bubblegum","Citrus, Candy","citral, Myrcene, Geranyl acetate",,0.870786667,1.479333333
589ed69f-0174-4b44-9be8-71a3505beb9f,Purple Grape,10-506-9999,"0.9164, 0.9093, 0.8473, 0.8910, 0.8907, 0.8596, 0.8608, 0.8686, 0.877, 0.877, 0.861, 0.8806, 0.8912, 0.8836, 0.8912, 0.8802, 0.8868, 0.8660, 0.8802",0.845 - 0.915,"1.4898, 1.4947, 1.4950, 1.4948, 1.4947, 1.4964, 1.4949, 1.493, 1.4944, 1.494, 1.4947, 1.4957, 1.4981, 1.4961, 1.4961, 1.4965, 1.4972, 1.4968, 1.4972",1.465 - 1.525,Enhancer Line,#7f6ed6,#c464b9,9.5,,5,,Sweet Grape Juice,Sweet Juicy Grape juice,"sweet, Fruity, Grape, juicy",Sweet,"Beta Caryophyllene, Humulene, linalool",0.9238,0.879921053,1.495268421
ac4a0f48-3d1c-49a0-b92a-f4958b21ca89,Rainbow Belts,10/08/9999,"0.8244, 0.8352, 0.8402",0.800 - 0.867,"1.477, 1.4756, 1.4778",1.447 - 1.506,Enhancer Line,#e38d8d,#b3d874,7,3,3,,candy,Sweet fruity notes of strawberry candy and tropical gum meet an herbal twist of za’atar and thyme,"strawberry, Herbal, Candy",Candy,"Myrcene, Alpha Pinene, Beta Caryophyllene",,0.833266667,1.4768
14a56884-4b81-448d-8170-766955a25632,Red Lebanese Hashish,10-503A-9999,".856, 0.8570, 0.8356, 0.8324, 0.829, 0.8472, 0.851, 0.8490",0.811 - 0.878,"1.4784, 1.4788, 1.4786, 1.4824, 1.4803, 1.4794, 1.4811, 1.4814",1.45 - 1.51,Enhancer Line,#7ca777,#7e1818,7,4,,,Hash,Strong earthy body with muddy-sweet kushy notes,"Camphorous, Diesel, pine, Kush, Herbal, Earthy, Mud",Herbal,"Beta Caryophyllene, Myrcene, Terpinolene",0.8678,0.84465,1.48005
2f012633-2846-4f48-b281-e672e8b5cd33,Red Raspberry,10-556-9999,".8253, 0.8332, 0.8402, 0.8046, 0.8386, 0.8306, 0.8418, 0.8426, 0.8262, 0.8432, 0.8562, 0.8524, 0.8442, 0.8522, 0.8316",0.804 - 0.871,"1.4722, 1.4757, 1.4738, 1.4742, 1.474, 1.473, 1.4750, 1.4753, 1.4751, 1.4754, 1.4745, 1.4748, 1.4751, 1.4748, 1.4757",1.445 - 1.504,Enhancer Line,#f438d6,#f40505,9,,5,,Red Raspberry,Deep sour red raspberry body with sweet cherry and black tea top notes.,"raspberry, Cherry, FruitJuice, popsticle, JuiceConcentrate","Candy, Fruity","Myrcene, Beta Caryophyllene, linalool",,0.837526667,1.474573333
f6199544-df8e-4748-b02f-49affc4e49d6,Rocket Pop,10/02/9999,"0.8402, 0.8618, 0.8372, 0.8454, 0.8524, 0.8498, 0.8372, 0.8436, 0.8620",0.814 - 0.882,"1.4799, 1.4831, 1.4740, 1.4731, 1.4733, 1.4747, 1.4740, 1.4736, 1.4756",1.446 - 1.505,Enhancer Line,#ec1818,#8960ff,6.5,,5,2,sweet and sour berry,"sweet cherry profile, black berry notes, sour hints, cucamber\melon scented acetone,sweet chemicaly strawberry","Cherry, strawberry, Sour, blackberry",Candy,"Myrcene, linalool, Beta Caryophyllene, Limonene",,0.847733333,1.4757
a5b34703-6a19-4ba1-ab51-55ef76a00f53,Skunk Note,10-501-9999,"0.7938, 0.7958, 0.8275, 0.785, 0.7858, 0.7862, 0.7946, 0.7934, 0.7916, 0.7948, 0.7992, 0.8036, 0.8022, 0.7834",0.764 - 0.827,"1.4687, 1.4686, 1.4664, 1.4698, 1.4755, 1.4765, 1.4713, 1.4702, 1.4704, 1.4707, 1.4718, 1.4719, 1.4716, 1.4714",1.442 - 1.5,Enhancer Line,#fbbc04,#545d41,9.5,4,,,Skunk,Powerful skunky top notes with sweet and tropical fruity core.,"tropical, sweet, Skunk, Fruity, Mango, SweetSkunk, Stinky",Tropical,Myrcene,0.7954,0.795492857,1.471057143
