2026-03-05 11:46:35,343 | INFO | TOP5 [{"name": "AK-47 Alpha", "score": 0.706667, "why": {"odor_type": 1.0, "family_type": 1.0, "tags": 0.5, "description": 0.0, "intensity": 0.8333, "forwardness": 0.5}}, {"name": "OG Formulation", "score": 0.43, "why": {"odor_type": 0.0, "family_type": 1.0, "tags": 0.0, "description": 0.0, "intensity": 1.0, "forwardness": 0.5}}, {"name": "ANX Formulation", "score": 0.43, "why": {"odor_type": 0.0, "family_type": 1.0, "tags": 0.0, "description": 0.0, "intensity": 1.0, "forwardness": 0.5}}, {"name": "STV", "score": 0.43, "why": {"odor_type": 0.0, "family_type": 1.0, "tags": 0.0, "description": 0.0, "intensity": 1.0, "forwardness": 0.5}}, {"name": "Red Lebanese Hashish", "score": 0.408056, "why": {"odor_type": 0.0, "family_type": 1.0, "tags": 0.125, "description": 0.0, "intensity": 0.7778, "forwardness": 0.5}}]
2026-03-05 11:47:57,340 | INFO | FORM_SUBMIT payload={"odor_type": "diesel", "family_type": "herbal", "tags": "pine", "odor_description": "glue", "intensity_1_10": 5, "cannabis_forward": 2, "fruity_forward": 8, "dessert_forward": 0}
2026-03-05 11:47:57,367 | INFO | TOP5 [{"name": "AK-47 Alpha", "score": 0.673793, "why": {"odor_type": 1.0, "family_type": 1.0, "tags": 0.25, "description": 0.0, "intensity": 0.8333, "forwardness": 0.6213}}, {"name": "ANX Formulation", "score": 0.478507, "why": {"odor_type": 0.0, "family_type": 1.0, "tags": 0.0, "description": 0.0, "intensity": 1.0, "forwardness": 0.9851}}, {"name": "OG Formulation", "score": 0.442127, "why": {"odor_type": 0.0, "family_type": 1.0, "tags": 0.0, "description": 0.0, "intensity": 1.0, "forwardness": 0.6213}}, {"name": "STV", "score": 0.442127, "why": {"odor_type": 0.0, "family_type": 1.0, "tags": 0.0, "description": 0.0, "intensity": 1.0, "forwardness": 0.6213}}, {"name": "Forbidden Fruit +", "score": 0.440317, "why": {"odor_type": 0.0, "family_type": 1.0, "tags": 0.0, "description": 0.0, "intensity": 0.8889, "forwardness": 0.8254}}]
2026-03-05 11:48:14,766 | INFO | FORM_SUBMIT payload={"odor_type": "diesel", "family_type": "herbal", "tags": "pine", "odor_description": "glue", "intensity_1_10": 5, "cannabis_forward": 7, "fruity_forward": 0, "dessert_forward": 0}
2026-03-05 11:48:14,794 | INFO | TOP5 [{"name": "AK-47 Alpha", "score": 0.711667, "why": {"odor_type": 1.0, "family_type": 1.0, "tags": 0.25, "description": 0.0, "intensity": 0.8333, "forwardness": 1.0}}, {"name": "OG Formulation", "score": 0.48, "why": {"odor_type": 0.0, "family_type": 1.0, "tags": 0.0, "description": 0.0, "intensity": 1.0, "forwardness": 1.0}}, {"name": "STV", "score": 0.48, "why": {"odor_type": 0.0, "family_type": 1.0, "tags": 0.0, "description": 0.0, "intensity": 1.0, "forwardness": 1.0}}, {"name": "Red Lebanese Hashish", "score": 0.46127, "why": {"odor_type": 0.0, "family_type": 1.0, "tags": 0.1429, "description": 0.0, "intensity": 0.7778, "forwardness": 1.0}}, {"name": "Amnesia Haze", "score": 0.457778, "why": {"odor_type": 0.0, "family_type": 1.0, "tags": 0.0, "description": 0.0, "intensity": 0.8889, "forwardness": 1.0}}]
2026-03-05 11:54:56,580 | INFO | DB already has 289 formulations. Skipping CSV load.
2026-03-05 11:55:04,926 | INFO | DB already has 289 formulations. Skipping CSV load.
2026-03-05 11:57:20,553 | INFO | DB already has 289 formulations. Skipping CSV load.
2026-03-05 11:57:48,422 | INFO | FORM_SUBMIT payload={"odor_type": "diesel", "family_type": "herbal", "tags": "pine", "odor_description": "glue", "intensity_1_10": 5, "cannabis_forward": 7, "fruity_forward": 0, "dessert_forward": 0}
2026-03-05 11:57:48,452 | INFO | TOP5 [{"name": "AK-47 Alpha", "score": 0.711667, "why": {"odor_type": 1.0, "family_type": 1.0, "tags": 0.25, "description": 0.0, "intensity": 0.8333, "forwardness": 1.0}}, {"name": "OG Formulation", "score": 0.48, "why": {"odor_type": 0.0, "family_type": 1.0, "tags": 0.0, "description": 0.0, "intensity": 1.0, "forwardness": 1.0}}, {"name": "STV", "score": 0.48, "why": {"odor_type": 0.0, "family_type": 1.0, "tags": 0.0, "description": 0.0, "intensity": 1.0, "forwardness": 1.0}}, {"name": "Red Lebanese Hashish", "score": 0.46127, "why": {"odor_type": 0.0, "family_type": 1.0, "tags": 0.1429, "description": 0.0, "intensity": 0.7778, "forwardness": 1.0}}, {"name": "Amnesia Haze", "score": 0.457778, "why": {"odor_type": 0.0, "family_type": 1.0, "tags": 0.0, "description": 0.0, "intensity": 0.8889, "forwardness": 1.0}}]
2026-03-05 11:58:06,497 | INFO | FORM_SUBMIT payload={"odor_type": "diesel", "family_type": "herbal", "tags": "pine", "odor_description": "glue", "intensity_1_10": 5, "cannabis_forward": 6, "fruity_forward": 0, "dessert_forward": 0}
2026-03-05 11:58:06,524 | INFO | TOP5 [{"name": "AK-47 Alpha", "score": 0.711667, "why": {"odor_type": 1.0, "family_type": 1.0, "tags": 0.25, "description": 0.0, "intensity": 0.8333, "forwardness": 1.0}}, {"name": "OG Formulation", "score": 0.48, "why": {"odor_type": 0.0, "family_type": 1.0, "tags": 0.0, "description": 0.0, "intensity": 1.0, "forwardness": 1.0}}, {"name": "STV", "score": 0.48, "why": {"odor_type": 0.0, "family_type": 1.0, "tags": 0.0, "description": 0.0, "intensity": 1.0, "forwardness": 1.0}}, {"name": "Red Lebanese Hashish", "score": 0.46127, "why": {"odor_type": 0.0, "family_type": 1.0, "tags": 0.1429, "description": 0.0, "intensity": 0.7778, "forwardness": 1.0}}, {"name": "Amnesia Haze", "score": 0.457778, "why": {"odor_type": 0.0, "family_type": 1.0, "tags": 0.0, "description": 0.0, "intensity": 0.8889, "forwardness": 1.0}}]
2026-03-05 12:00:24,166 | INFO | DB already has 289 formulations. Skipping CSV load.
2026-03-05 12:01:37,070 | INFO | DB already has 289 formulations. Skipping CSV load.
